"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-530_30 Blue E-A","Comp-582_15 YG D-A","Time"
95520.6,61222,102251,89945.7,64790,90981.3,52125.1,-1.3073,2.243
117862,78604,98267.6,59391.5,41253,94351.5,38263.6,2.78411,2.251
114634,72110,104183,78769.1,55438,93116.8,47926.3,-0.501228,2.266
102314,60210,111365,71221,44738,104331,29309.1,5.49288,2.27
96221.3,64788,97332.2,64962.3,40524,105058,52792.5,-20.9612,2.272
85844.3,51152,109984,58202,35320,107993,34439.9,7.80552,2.273
112136,68308,107586,65288.3,39340,108763,114566,-5.94287,2.281
134700,72227,122222,174503,84511,135322,39574.7,4.8179,2.29
72814.8,50690,94140.7,60221.5,44102,89489.7,31548.1,-7.90433,2.294
115054,79605,94720,55731.8,40397,90413.6,53995.4,2.27972,2.297
87409.9,59735,95898.4,41528,27735,98127.9,28688.4,-0.826307,2.316
138521,96395,94175.9,93480.7,66518,92100.6,71148.8,18.1119,2.318
64727.7,49229,86168.6,28154.9,22016,83809.9,46808.7,-5.72774,2.323
115614,62183,121848,103146,64751,104397,29874.1,-6.20427,2.325
85063,52941,105300,102043,55328,120870,54510.9,6.48582,2.367
93245.2,64001,95481.5,53947.1,38541,91732.9,53106.3,-0.31182,2.375
105747,75275,92065.7,102307,73151,91657,43492.9,-2.85972,2.387
87030.6,45789,124564,55093.7,34352,105107,37294.2,-4.57215,2.401
106712,71603,97669.8,53259.2,37423,93268.7,40374.9,10.0653,2.406
82670.5,50305,107701,109024,64873,110138,55858,3.74725,2.409
106784,73633,95041.4,57368.2,39305,95654.1,35295.9,-3.38076,2.426
103785,67858,100233,54232.6,38510,92292.6,38761.2,5.93139,2.444
94652.7,67170,92350.1,54623.4,40850,87632.8,32452.1,-9.55378,2.445
90924.1,63503,93835,50605.6,36767,90202.9,36406.4,2.37622,2.463
96185.6,64803,97273.6,53291.9,39947,87429.4,35234.3,-4.43671,2.467
123312,65683,123036,64116.8,38327,109634,31188.2,3.24933,2.472
70424.6,47055,98084.1,64734.5,43490,97549.8,34099.1,5.70793,2.485
93837.2,64656,95114.4,36299.6,26776,88845.7,30063.6,-1.97673,2.485
85908.1,63783,88269.2,43609,33471,85386.2,30070.7,-6.21719,2.485
78045.9,49465,103403,79379,39172,132804,32767.1,-3.21449,2.497
130041,70075,121617,74970.5,43734,112344,33493.1,2.56778,2.51
143924,84535,111578,83918.6,52867,104029,32522,2.63163,2.511
133299,70670,123615,80485.9,45559,115778,50897.9,8.31339,2.545
100717,70543,93568.8,34046.2,24699,90337.8,28575.4,-3.99888,2.552
106473,64799,107684,56946.2,39906,93520.5,40363.5,-2.12396,2.557
86512.3,63295,89575.3,57881.5,44562,85124.5,28912.1,7.63899,2.558
83476.1,55467,98629.7,77993.8,51702,98862.7,53211.7,-3.49875,2.558
92033,61255,98465,45248.6,31211,95011.7,32838.7,3.67081,2.56
100558,72044,91474.1,60335.3,44481,88895,39637.3,-0.48621,2.564
72029.8,52082,90636.7,30430.9,22998,86717.1,50157.9,-1.70796,2.592
125565,86310,95342.6,61059.2,42910,93255.1,28848.3,1.28318,2.6
96593.7,61329,103220,55237.3,36093,100297,41587.4,-5.91443,2.605
76205.2,51771,96466.8,29548,21115,91709.9,31823.4,-6.33243,2.617
84399.5,56904,97202.4,39538.2,28945,89520.7,31454.2,1.64184,2.64
78954.9,53057,97525.1,78478.1,56873,90432.1,45209.2,-17.2826,2.641
135043,74379,118987,94617.1,44054,140755,37583.6,-4.06118,2.662
84968,60548,91967.7,41891.5,31612,86846.7,30312.4,0.126917,2.663
77997.3,46880,109036,65929.5,45512,94936.6,42329,1.9868,2.668
93977.8,64911,94882.7,50053.4,35903,91365.6,30792,2.21538,2.67
76019.8,54380,91615.1,44284.5,34209,84838.2,29466.1,0.182563,2.672
106485,76641,91055.8,49864.6,35017,93324,46716.5,0.108317,2.679
107819,71091,99394,47753.9,34043,91930.9,39397.2,-7.36042,2.68
89465.7,62280,94143,56313.7,39777,92781.5,34140.6,-1.7148,2.698
79031.6,57166,90603.1,40347.1,31191,84774,29110.3,1.26595,2.705
