sample_name	sample_id	construct	replicate	concentration	bin	mean_log10_PEs	std_log10_PEs	mean_log10_FITCs	std_log10_FITCs
CH65_e_5_4	20	CH65	e	5	4	3.8525763226971397	0.2699789256026177	3.967571044088744	0.22810139117187442
CH65_e_6_1	21	CH65	e	6	1	2.0993425700475354	0.15576989814212702	3.7509752987002303	0.3165738704182191
CH65_e_6_2	22	CH65	e	6	2	2.589170974414264	0.05941458399928249	3.7808896460910733	0.27252976890333835
CH65_e_6_3	23	CH65	e	6	3	2.8538761883191874	0.09888352104243456	3.839508011255598	0.25601906847224365
CH65_e_6_4	24	CH65	e	6	4	3.410936339647513	0.30954081908845316	3.9556133098190984	0.25018004180422015
CH65_e_7_1	25	CH65	e	7	1	2.089595208764276	0.15185748970004395	3.7666575524712735	0.3146523015428845
CH65_e_7_2	26	CH65	e	7	2	2.55261160740895	0.04049299663953078	3.8670583668823832	0.25220869523471634
CH65_e_7_3	27	CH65	e	7	3	2.754448888879664	0.07655266752058026	3.963375532567171	0.23678214352478896
CH65_e_7_4	28	CH65	e	7	4	3.20873158071839	0.26103763245688855	3.8524857761295523	0.3978358901575803
CH65_e_8_1	29	CH65	e	8	1	2.0818777926899403	0.13578571666797812	3.7610295038948176	0.31153795599063205
CH65_e_8_2	30	CH65	e	8	2	2.5215801654529355	0.017710667664805457	3.8981113704848647	0.27858811718721826
CH65_e_8_3	31	CH65	e	8	3	2.5999710002952736	0.02921266903007884	4.014783288780274	0.2207034583174345
CH65_e_8_4	32	CH65	e	8	4	2.9106236459354164	0.25761424476300265	4.078246366502953	0.2645876242962154
CH65_e_9_1	33	CH65	e	9	1	2.0763638832411826	0.14637925607923333	3.7356128840880833	0.30978191129712807
CH65_e_9_2	34	CH65	e	9	2	2.515646049192838	0.01595215955406867	3.791812185613636	0.3283467271341405
CH65_e_9_3	35	CH65	e	9	3	2.5783882424421654	0.023643549205955953	3.8602327730199733	0.3326554391847638
CH65_e_9_4	36	CH65	e	9	4	2.9217870224874734	0.44022029938951823	3.812793945382204	0.421254452099814
CH65_e_0_1	37	CH65	e	0	1	2.0762461603458693	0.1356975466146858	3.7061048995754486	0.3078511455226447
CH65_e_0_2	38	CH65	e	0	2	2.514326787509429	0.015131118895674938	3.6901440167902164	0.29175557419425513
CH65_e_0_3	39	CH65	e	0	3	2.57573291602266	0.020721908964798818	3.7305980228310966	0.3282085766720595
CH65_e_0_4	40	CH65	e	0	4	2.964441344033298	0.3066821829842194	3.610830439072869	0.47486737596543993
CH65_e_F_1	41	CH65	e	F	1	2.0627814604216534	0.1104948785316597	2.444500203190047	0.20418059611569517
CH65_e_F_2	42	CH65	e	F	2	2.076899510886758	0.11566109225067837	3.1960854351541896	0.26567962793881533
CH65_e_F_3	43	CH65	e	F	3	2.0738655781830646	0.1154536396814374	3.7486874531651924	0.10560449435233088
